DSC ID,ZoomInfo ID,SP_COMPANY_ID,Client Name,S&P Ticker,GP ID,URL,Titanium,GWS Enterprise Sector Mapping
1050,89310387,4005681,Meiji Yasuda Life,,GP105437,https://www.meijiyasuda.co.jp/,Titanium,Financial & Professional Services
1051,27970667,4091160,Genworth Financial Inc,NYSE:GNW,GP105469,https://www.genworth.com/,Titanium,Financial & Professional Services
1052,31802401,4966468,Quanta Computer Inc,TWSE:2382,GP105556,https://www.quantatw.com/,Titanium,Tech/Media/Telecom
1053,18384109,4075407,EOG Resources Inc,NYSE:EOG,GP105678,https://www.eogresources.com/,Titanium,EOG & Utilities
1054,54742651,4101861,Conagra Brands Inc,NYSE:CAG,GP105743,https://www.conagrabrands.com/,Titanium,Industrial & Logistics
1055,164856312,4053619,Nordstrom Inc,NYSE:JWN,GP105766,https://www.nordstrom.com/,Titanium,Retail & Multi-Site
1056,100025417,102771,Raymond James Financial Inc,NYSE:RJF,GP105768,https://www.raymondjames.com/,Titanium,Financial & Professional Services
1057,56953751,4994170,J B Hunt Transport Services Inc,NASDAQGS:JBHT,GP105992,https://www.jbhunt.com/,Titanium,Industrial & Logistics
1058,19108134,4133211,Campbell Soup Company,NYSE:CPB,GP106112,http://www.campbellsoupcompany.com/,Titanium,Industrial & Logistics
1059,7209161,4103411,Celanese Corporation,NYSE:CE,GP106127,https://www.celanese.com/,Titanium,Industrial & Logistics
1060,263110865,4048741,Sumitomo Life Insurance Company,,GP106262,https://www.sumitomolife.co.jp/,Titanium,Financial & Professional Services
1061,74498996,4122602,Sanmina Corporation,NASDAQGS:SANM,GP106377,https://www.sanmina.com/,Titanium,Tech/Media/Telecom
1062,4853944,4252473,AIA Group Ltd,SEHK:1299,GP106414,http://www.aia.com/,Titanium,Financial & Professional Services
1063,79053548,4237028,Mitsubishi Electric,TSE:6503,GP100702,http://www.mitsubishielectric.com/,Titanium,Tech/Media/Telecom
1064,25938795,1019881,Citizens Financial Group Inc,NYSE:CFG,GP106802,https://www.citizensbank.com/,Titanium,Financial & Professional Services
1065,57379282,4005715,Munich Re Group,XTRA:MUV2,GP106850,https://www.munichre.com/,Titanium,Financial & Professional Services
1066,95912679,4094404,Toll Brothers Inc,NYSE:TOL,GP106914,https://www.tollbrothers.com/,Titanium,Industrial & Logistics
1067,40026602,103324,Unum Group,NYSE:UNM,GP106998,https://www.unum.com/,Titanium,Financial & Professional Services
1068,347071113,4375571,Post Holdings Inc,NYSE:POST,GP106999,https://www.postholdings.com/,Titanium,Industrial & Logistics
1069,104595788,4401572,Safran SA,ENXTPA:SAF,GP107049,https://www.safran-group.com/,Titanium,Tech/Media/Telecom
1070,6999114,4090153,Assurant Inc,NYSE:AIZ,GP107090,https://www.assurant.com/,Titanium,Financial & Professional Services
1071,74876110,4041871,Marubeni Corporation,TSE:8002,GP107370,https://www.marubeni.com/,Titanium,Industrial & Logistics
1072,25676154,4090820,CJ Corporation,KOSE:A001040,GP107373,http://www.cj.net/,Titanium,Industrial & Logistics
